Experiment_Index,Type,Ventilation_Rate,AMPAS_Interval,Location,Consecutive_Sample_ID,conc_ppb
1,AMPAS,1.5,30,4,1,214.85
1,AMPAS,1.5,30,4,2,181.562
1,AMPAS,1.5,30,4,3,209.881
1,AMPAS,1.5,30,5,1,133.719
1,AMPAS,1.5,30,5,2,143.28
1,AMPAS,1.5,30,5,3,215.422
1,AMPAS,1.5,30,6,1,207.474
1,AMPAS,1.5,30,6,2,228.063
1,AMPAS,1.5,30,6,3,216.337
2,AMPAS,1.5,30,1,1,125.35
2,AMPAS,1.5,30,1,2,161.448
2,AMPAS,1.5,30,1,3,119.921
2,AMPAS,1.5,30,2,1,123.788
2,AMPAS,1.5,30,2,2,133.766
2,AMPAS,1.5,30,2,3,193.115
2,AMPAS,1.5,30,3,1,120.922
2,AMPAS,1.5,30,3,2,108.84
2,AMPAS,1.5,30,3,3,190.049
3,AMPAS,1.5,30,7,1,147.242
3,AMPAS,1.5,30,7,2,228.908
3,AMPAS,1.5,30,7,3,267.117
3,AMPAS,1.5,30,8,1,224.484
3,AMPAS,1.5,30,8,2,290.059
3,AMPAS,1.5,30,8,3,270.413
3,AMPAS,1.5,30,9,1,273.896
3,AMPAS,1.5,30,9,2,265.743
3,AMPAS,1.5,30,9,3,224.167
4,AMPAS,1.5,60,7,1,304.751
4,AMPAS,1.5,60,7,2,510.049
4,AMPAS,1.5,60,7,3,638.068
4,AMPAS,1.5,60,8,1,268.283
4,AMPAS,1.5,60,8,2,519.269
4,AMPAS,1.5,60,8,3,642.013
4,AMPAS,1.5,60,9,1,455.681
4,AMPAS,1.5,60,9,2,470.063
4,AMPAS,1.5,60,9,3,582.382
5,AMPAS,1.5,60,4,1,364.422
5,AMPAS,1.5,60,4,2,457.69
5,AMPAS,1.5,60,4,3,680.263
5,AMPAS,1.5,60,5,1,367.254
5,AMPAS,1.5,60,5,2,616.484
5,AMPAS,1.5,60,5,3,671.804
5,AMPAS,1.5,60,6,1,383.578
5,AMPAS,1.5,60,6,2,348.691
5,AMPAS,1.5,60,6,3,449.623
6,AMPAS,1.5,60,3,1,252.927
6,AMPAS,1.5,60,3,2,365.73
6,AMPAS,1.5,60,3,3,463.976
7,AMPAS,10,60,1,1,191.853
7,AMPAS,10,60,1,2,240.559
7,AMPAS,10,60,1,3,183.792
7,AMPAS,10,60,2,1,152.14
7,AMPAS,10,60,2,2,151.414
7,AMPAS,10,60,2,3,161.209
7,AMPAS,10,60,3,1,133.641
7,AMPAS,10,60,3,2,144.807
7,AMPAS,10,60,3,3,153.279
8,AMPAS,10,60,4,1,207.593
8,AMPAS,10,60,4,2,219.252
8,AMPAS,10,60,4,3,313.924
8,AMPAS,10,60,5,1,352.652
8,AMPAS,10,60,5,2,263.152
8,AMPAS,10,60,5,3,271.299
8,AMPAS,10,60,6,1,152.208
8,AMPAS,10,60,6,2,183.295
8,AMPAS,10,60,6,3,183.82
9,AMPAS,10,60,7,1,228.3259
9,AMPAS,10,60,7,2,217.7261
9,AMPAS,10,60,7,3,218.4421
9,AMPAS,10,60,8,1,175.7336
9,AMPAS,10,60,8,2,179.3802
9,AMPAS,10,60,8,3,203.5736
9,AMPAS,10,60,9,1,168.5175
9,AMPAS,10,60,9,2,161.4773
9,AMPAS,10,60,9,3,188.5275
10,AMPAS,10,30,7,1,107.2687
10,AMPAS,10,30,7,2,119.6827
10,AMPAS,10,30,7,3,111.8218
10,AMPAS,10,30,9,1,96.9343
10,AMPAS,10,30,9,2,93.4291
10,AMPAS,10,30,9,3,89.9535
11,AMPAS,10,30,4,1,107.5217
11,AMPAS,10,30,4,2,117.6756
11,AMPAS,10,30,4,3,188.7208
11,AMPAS,10,30,8,1,89.6859
11,AMPAS,10,30,8,2,104.4943
11,AMPAS,10,30,8,3,157.2182
12,AMPAS,10,30,5,1,125.1536
12,AMPAS,10,30,5,2,148.2026
12,AMPAS,10,30,5,3,151.6445
12,AMPAS,10,30,6,1,69.8084
12,AMPAS,10,30,6,2,74.5954
12,AMPAS,10,30,6,3,81.7493
13,AMPAS,10,30,1,1,72.2414
13,AMPAS,10,30,1,2,72.3737
13,AMPAS,10,30,1,3,100.408
13,AMPAS,10,30,2,1,72.8668
13,AMPAS,10,30,2,2,95.34
13,AMPAS,10,30,2,3,96.075
14,AMPAS,10,30,3,1,82.1028
14,AMPAS,10,30,3,2,83.0399
14,AMPAS,10,30,3,3,85.9571
15,AMPAS,1.5,60,1,1,392.3659
15,AMPAS,1.5,60,1,2,570.4718
15,AMPAS,1.5,60,1,3,614.8127
15,AMPAS,1.5,60,2,1,459.7162
15,AMPAS,1.5,60,2,2,600.7067
15,AMPAS,1.5,60,2,3,505.5242
