Experiment_Index,Type,Ventilation_Rate,AMPAS_Interval,Location,conc_ppb
1,90mm,1.5,30,9,1066.024
1,90mm,1.5,30,9,1055.062
5,90mm,1.5,60,9,2150.654
5,90mm,1.5,60,9,2151.613
2,90mm,1.5,30,9,1312.177
2,90mm,1.5,30,9,1358.676
3,90mm,1.5,30,9,1399.378
3,90mm,1.5,30,9,1277.796
4,90mm,1.5,60,9,1401.861
4,90mm,1.5,60,9,1368.869
6,90mm,1.5,60,9,1562.943
6,90mm,1.5,60,9,1506.992
7,90mm,10,60,9,727.12
7,90mm,10,60,9,767.448
8,90mm,10,60,9,674.028
8,90mm,10,60,9,797.326
9,90mm,10,60,9,774.3012
9,90mm,10,60,9,662.1286
10,90mm,10,30,9,362.5105
10,90mm,10,30,9,423.1323
11,90mm,10,30,9,480.7214
11,90mm,10,30,9,522.1145
12,90mm,10,30,9,417.4581
12,90mm,10,30,9,429.6306
13,90mm,10,30,9,472.6864
13,90mm,10,30,9,410.2896
14,90mm,10,30,9,434.4606
14,90mm,10,30,9,379.8966
15,90mm,1.5,60,9,2475.3608
15,90mm,1.5,60,9,1937.2758
